<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20140201,000000,1.3487,1.3488,1.3482,1.3482,4
EURUSD,20140201,000100,1.3483,1.3488,1.3483,1.3487,4
EURUSD,20140201,000200,1.3486,1.3486,1.3485,1.3486,4
EURUSD,20140201,000300,1.3485,1.3487,1.3485,1.3487,4
EURUSD,20140201,000400,1.3488,1.3491,1.3488,1.3491,4
EURUSD,20140201,000500,1.3492,1.3492,1.3489,1.3490,4
EURUSD,20140201,000600,1.3491,1.3495,1.3491,1.3495,4
EURUSD,20140201,000700,1.3496,1.3498,1.3494,1.3494,4
EURUSD,20140201,000800,1.3495,1.3496,1.3492,1.3492,4
EURUSD,20140201,000900,1.3493,1.3496,1.3493,1.3495,4
EURUSD,20140201,001000,1.3496,1.3496,1.3494,1.3496,4
EURUSD,20140201,001100,1.3497,1.3501,1.3496,1.3501,4
EURUSD,20140201,001200,1.3502,1.3502,1.3500,1.3500,4
EURUSD,20140201,001300,1.3500,1.3500,1.3499,1.3499,4
EURUSD,20140201,001400,1.3498,1.3498,1.3496,1.3498,4
EURUSD,20140201,001500,1.3497,1.3499,1.3496,1.3498,4
EURUSD,20140201,001600,1.3498,1.3498,1.3493,1.3493,4
EURUSD,20140201,001700,1.3492,1.3494,1.3492,1.3492,4
EURUSD,20140201,001800,1.3493,1.3493,1.3492,1.3492,4
EURUSD,20140201,001900,1.3492,1.3492,1.3490,1.3492,4
EURUSD,20140201,002000,1.3492,1.3494,1.3491,1.3494,4
EURUSD,20140201,002100,1.3493,1.3497,1.3493,1.3497,4
EURUSD,20140201,002200,1.3498,1.3498,1.3496,1.3498,4
EURUSD,20140201,002300,1.3499,1.3500,1.3497,1.3498,4
EURUSD,20140201,002400,1.3498,1.3498,1.3496,1.3496,4
EURUSD,20140201,002500,1.3495,1.3498,1.3495,1.3498,4
EURUSD,20140201,002600,1.3497,1.3498,1.3496,1.3497,4
EURUSD,20140201,002700,1.3496,1.3496,1.3494,1.3495,4
EURUSD,20140201,002800,1.3494,1.3494,1.3493,1.3493,4
EURUSD,20140201,002900,1.3494,1.3496,1.3494,1.3496,4
EURUSD,20140201,003000,1.3496,1.3497,1.3494,1.3497,4
EURUSD,20140201,003100,1.3498,1.3500,1.3497,1.3499,4
EURUSD,20140201,003200,1.3500,1.3501,1.3500,1.3501,4
EURUSD,20140201,003300,1.3500,1.3500,1.3496,1.3498,4
EURUSD,20140201,003400,1.3497,1.3498,1.3495,1.3496,4
EURUSD,20140201,003500,1.3495,1.3498,1.3494,1.3496,4
EURUSD,20140201,003600,1.3497,1.3499,1.3497,1.3498,4
EURUSD,20140201,003700,1.3497,1.3498,1.3497,1.3498,4
EURUSD,20140201,003800,1.3497,1.3497,1.3497,1.3497,4
EURUSD,20140201,003900,1.3497,1.3498,1.3497,1.3498,4
EURUSD,20140201,004000,1.3497,1.3498,1.3497,1.3498,4
EURUSD,20140201,004100,1.3499,1.3502,1.3499,1.3500,4
EURUSD,20140201,004200,1.3499,1.3499,1.3497,1.3497,4
EURUSD,20140201,004300,1.3498,1.3499,1.3497,1.3498,4
EURUSD,20140201,004400,1.3497,1.3498,1.3497,1.3497,4
EURUSD,20140201,004500,1.3498,1.3500,1.3498,1.3500,4
EURUSD,20140201,004600,1.3501,1.3501,1.3500,1.3500,4
EURUSD,20140201,004700,1.3501,1.3502,1.3500,1.3500,4
EURUSD,20140201,004800,1.3500,1.3500,1.3500,1.3500,4
EURUSD,20140201,004900,1.3499,1.3499,1.3498,1.3498,4
EURUSD,20140201,005000,1.3499,1.3500,1.3498,1.3498,4
EURUSD,20140201,005100,1.3499,1.3499,1.3498,1.3498,4
EURUSD,20140201,005200,1.3499,1.3500,1.3499,1.3500,4
EURUSD,20140201,005300,1.3499,1.3502,1.3499,1.3501,4
EURUSD,20140201,005400,1.3502,1.3502,1.3500,1.3501,4
EURUSD,20140201,005500,1.3501,1.3501,1.3499,1.3499,4
EURUSD,20140201,005600,1.3499,1.3500,1.3499,1.3500,4
EURUSD,20140201,005700,1.3500,1.3501,1.3500,1.3500,4
EURUSD,20140201,005800,1.3501,1.3501,1.3501,1.3501,4
EURUSD,20140201,005900,1.3501,1.3502,1.3500,1.3500,4
EURUSD,20140201,010000,1.3499,1.3499,1.3498,1.3498,4
EURUSD,20140201,010100,1.3498,1.3498,1.3497,1.3498,4
EURUSD,20140201,010200,1.3497,1.3499,1.3497,1.3499,4
EURUSD,20140201,010300,1.3500,1.3501,1.3500,1.3500,4
EURUSD,20140201,010400,1.3499,1.3500,1.3499,1.3500,4
EURUSD,20140201,010500,1.3499,1.3501,1.3499,1.3500,4
EURUSD,20140201,010600,1.3499,1.3501,1.3499,1.3500,4
EURUSD,20140201,010700,1.3501,1.3501,1.3499,1.3499,4
EURUSD,20140201,010800,1.3500,1.3500,1.3500,1.3500,4
EURUSD,20140201,010900,1.3499,1.3500,1.3499,1.3500,4
EURUSD,20140201,011000,1.3500,1.3500,1.3496,1.3496,4
EURUSD,20140201,011100,1.3495,1.3495,1.3492,1.3492,4
EURUSD,20140201,011200,1.3493,1.3493,1.3492,1.3492,4
EURUSD,20140201,011300,1.3492,1.3493,1.3492,1.3493,4
EURUSD,20140201,011400,1.3493,1.3493,1.3493,1.3493,4
EURUSD,20140201,011500,1.3493,1.3493,1.3491,1.3491,4
EURUSD,20140201,011600,1.3491,1.3492,1.3491,1.3492,4
EURUSD,20140201,011700,1.3492,1.3493,1.3492,1.3493,4
EURUSD,20140201,011800,1.3493,1.3493,1.3493,1.3493,4
EURUSD,20140201,011900,1.3493,1.3494,1.3493,1.3494,4
EURUSD,20140201,012000,1.3495,1.3496,1.3494,1.3496,4
EURUSD,20140201,012100,1.3496,1.3496,1.3496,1.3496,4
EURUSD,20140201,012200,1.3496,1.3496,1.3495,1.3495,4
EURUSD,20140201,012300,1.3494,1.3494,1.3492,1.3494,4
EURUSD,20140201,012400,1.3493,1.3495,1.3493,1.3494,4
EURUSD,20140201,012500,1.3494,1.3495,1.3494,1.3494,4
EURUSD,20140201,012600,1.3493,1.3493,1.3493,1.3493,4
EURUSD,20140201,012700,1.3493,1.3494,1.3493,1.3493,4
EURUSD,20140201,012800,1.3493,1.3493,1.3493,1.3493,4
EURUSD,20140201,012900,1.3493,1.3493,1.3493,1.3493,4
EURUSD,20140201,013000,1.3493,1.3493,1.3493,1.3493,4
EURUSD,20140201,013100,1.3494,1.3495,1.3494,1.3495,4
EURUSD,20140201,013200,1.3494,1.3495,1.3494,1.3494,4
EURUSD,20140201,013300,1.3494,1.3494,1.3493,1.3493,4
EURUSD,20140201,013400,1.3493,1.3495,1.3493,1.3494,4
EURUSD,20140201,013500,1.3493,1.3496,1.3493,1.3495,4
EURUSD,20140201,013600,1.3496,1.3497,1.3496,1.3497,4
EURUSD,20140201,013700,1.3497,1.3497,1.3496,1.3496,4
EURUSD,20140201,013800,1.3496,1.3496,1.3495,1.3495,4
EURUSD,20140201,013900,1.3496,1.3498,1.3496,1.3498,4
EURUSD,20140201,014000,1.3497,1.3499,1.3497,1.3499,4
EURUSD,20140201,014100,1.3499,1.3501,1.3499,1.3501,4
EURUSD,20140201,014200,1.3500,1.3500,1.3499,1.3499,4
EURUSD,20140201,014300,1.3499,1.3499,1.3497,1.3497,4
EURUSD,20140201,014400,1.3497,1.3497,1.3496,1.3497,4
EURUSD,20140201,014500,1.3497,1.3499,1.3497,1.3498,4
EURUSD,20140201,014600,1.3498,1.3498,1.3497,1.3497,4
EURUSD,20140201,014700,1.3498,1.3498,1.3496,1.3497,4
EURUSD,20140201,014800,1.3497,1.3497,1.3496,1.3496,4
EURUSD,20140201,014900,1.3496,1.3497,1.3496,1.3497,4
EURUSD,20140201,015000,1.3497,1.3498,1.3497,1.3498,4
EURUSD,20140201,015100,1.3497,1.3497,1.3497,1.3497,4
EURUSD,20140201,015200,1.3498,1.3499,1.3498,1.3499,4
EURUSD,20140201,015300,1.3500,1.3500,1.3498,1.3498,4
EURUSD,20140201,015400,1.3499,1.3501,1.3498,1.3501,4
