<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20140301,004100,1.3799,1.3800,1.3799,1.3800,4
EURUSD,20140301,004200,1.3800,1.3800,1.3799,1.3799,4
EURUSD,20140301,004300,1.3799,1.3799,1.3799,1.3799,4
EURUSD,20140301,004400,1.3799,1.3801,1.3799,1.3800,4
EURUSD,20140301,004500,1.3801,1.3801,1.3801,1.3801,4
EURUSD,20140301,004600,1.3801,1.3801,1.3801,1.3801,4
EURUSD,20140301,004700,1.3802,1.3802,1.3800,1.3801,4
EURUSD,20140301,004800,1.3802,1.3803,1.3802,1.3802,4
EURUSD,20140301,004900,1.3802,1.3803,1.3802,1.3802,4
EURUSD,20140301,005000,1.3802,1.3803,1.3802,1.3802,4
EURUSD,20140301,005100,1.3803,1.3803,1.3803,1.3803,4
EURUSD,20140301,005200,1.3803,1.3804,1.3803,1.3803,4
EURUSD,20140301,005300,1.3803,1.3804,1.3803,1.3804,4
EURUSD,20140301,005400,1.3803,1.3804,1.3802,1.3802,4
EURUSD,20140301,005500,1.3802,1.3803,1.3802,1.3803,4
EURUSD,20140301,005600,1.3803,1.3804,1.3803,1.3804,4
EURUSD,20140301,005700,1.3804,1.3805,1.3804,1.3804,4
EURUSD,20140301,005800,1.3804,1.3806,1.3804,1.3806,4
EURUSD,20140301,005900,1.3805,1.3805,1.3803,1.3803,4
EURUSD,20140301,010000,1.3804,1.3805,1.3804,1.3804,4
EURUSD,20140301,010100,1.3805,1.3806,1.3805,1.3806,4
EURUSD,20140301,010200,1.3807,1.3807,1.3806,1.3806,4
EURUSD,20140301,010300,1.3805,1.3806,1.3805,1.3806,4
EURUSD,20140301,010400,1.3806,1.3807,1.3806,1.3807,4
EURUSD,20140301,010500,1.3806,1.3807,1.3806,1.3807,4
EURUSD,20140301,010600,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,010700,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,010800,1.3806,1.3807,1.3806,1.3807,4
EURUSD,20140301,010900,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,011000,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,011100,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,011200,1.3807,1.3809,1.3807,1.3809,4
EURUSD,20140301,011300,1.3810,1.3811,1.3809,1.3809,4
EURUSD,20140301,011400,1.3810,1.3811,1.3809,1.3810,4
EURUSD,20140301,011500,1.3810,1.3811,1.3809,1.3811,4
EURUSD,20140301,011600,1.3811,1.3811,1.3811,1.3811,4
EURUSD,20140301,011700,1.3811,1.3811,1.3811,1.3811,4
EURUSD,20140301,011800,1.3811,1.3811,1.3810,1.3811,4
EURUSD,20140301,011900,1.3811,1.3811,1.3809,1.3809,4
EURUSD,20140301,012000,1.3810,1.3811,1.3810,1.3811,4
EURUSD,20140301,012100,1.3811,1.3812,1.3810,1.3812,4
EURUSD,20140301,012200,1.3812,1.3812,1.3812,1.3812,4
EURUSD,20140301,012300,1.3812,1.3812,1.3812,1.3812,4
EURUSD,20140301,012400,1.3811,1.3813,1.3811,1.3812,4
EURUSD,20140301,012500,1.3812,1.3812,1.3811,1.3811,4
EURUSD,20140301,012600,1.3812,1.3813,1.3812,1.3812,4
EURUSD,20140301,012700,1.3812,1.3813,1.3812,1.3812,4
EURUSD,20140301,012800,1.3812,1.3812,1.3812,1.3812,4
EURUSD,20140301,012900,1.3811,1.3812,1.3811,1.3812,4
EURUSD,20140301,013000,1.3812,1.3813,1.3812,1.3813,4
EURUSD,20140301,013100,1.3814,1.3815,1.3813,1.3815,4
EURUSD,20140301,013200,1.3814,1.3815,1.3813,1.3813,4
EURUSD,20140301,013300,1.3813,1.3814,1.3813,1.3814,4
EURUSD,20140301,013400,1.3814,1.3814,1.3812,1.3812,4
EURUSD,20140301,013500,1.3811,1.3812,1.3811,1.3811,4
EURUSD,20140301,013600,1.3810,1.3811,1.3810,1.3811,4
EURUSD,20140301,013700,1.3810,1.3810,1.3810,1.3810,4
EURUSD,20140301,013800,1.3809,1.3810,1.3809,1.3810,4
EURUSD,20140301,013900,1.3810,1.3810,1.3809,1.3809,4
EURUSD,20140301,014000,1.3809,1.3813,1.3809,1.3813,4
EURUSD,20140301,014100,1.3812,1.3812,1.3811,1.3812,4
EURUSD,20140301,014200,1.3813,1.3813,1.3812,1.3812,4
EURUSD,20140301,014300,1.3811,1.3813,1.3811,1.3813,4
EURUSD,20140301,014400,1.3813,1.3813,1.3813,1.3813,4
EURUSD,20140301,014500,1.3812,1.3813,1.3812,1.3812,4
EURUSD,20140301,014600,1.3812,1.3812,1.3811,1.3811,4
EURUSD,20140301,014700,1.3811,1.3811,1.3811,1.3811,4
EURUSD,20140301,014800,1.3810,1.3811,1.3810,1.3810,4
EURUSD,20140301,014900,1.3810,1.3810,1.3808,1.3810,4
EURUSD,20140301,015000,1.3810,1.3810,1.3809,1.3810,4
EURUSD,20140301,015100,1.3809,1.3810,1.3808,1.3810,4
EURUSD,20140301,015200,1.3810,1.3810,1.3809,1.3809,4
EURUSD,20140301,015300,1.3809,1.3810,1.3809,1.3809,4
EURUSD,20140301,015400,1.3809,1.3809,1.3808,1.3809,4
EURUSD,20140301,015500,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,015600,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,015700,1.3806,1.3806,1.3805,1.3805,4
EURUSD,20140301,015800,1.3806,1.3806,1.3805,1.3805,4
EURUSD,20140301,015900,1.3804,1.3805,1.3804,1.3805,4
EURUSD,20140301,020000,1.3806,1.3808,1.3805,1.3808,4
EURUSD,20140301,020100,1.3807,1.3808,1.3807,1.3807,4
EURUSD,20140301,020200,1.3807,1.3808,1.3807,1.3808,4
EURUSD,20140301,020300,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,020400,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,020500,1.3809,1.3810,1.3809,1.3810,4
EURUSD,20140301,020600,1.3810,1.3810,1.3809,1.3809,4
EURUSD,20140301,020700,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,020800,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,020900,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,021000,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,021100,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,021200,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,021300,1.3808,1.3809,1.3807,1.3807,4
EURUSD,20140301,021400,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,021500,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,021600,1.3807,1.3808,1.3807,1.3807,4
EURUSD,20140301,021700,1.3808,1.3808,1.3807,1.3808,4
EURUSD,20140301,021800,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,021900,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,022000,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,022100,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,022200,1.3807,1.3808,1.3807,1.3807,4
EURUSD,20140301,022300,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,022400,1.3807,1.3808,1.3807,1.3808,4
EURUSD,20140301,022500,1.3808,1.3809,1.3808,1.3808,4
EURUSD,20140301,022600,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,022700,1.3809,1.3809,1.3808,1.3808,4
EURUSD,20140301,022800,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,022900,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,023000,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,023100,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,023200,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,023300,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,023400,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,023500,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,023600,1.3807,1.3808,1.3807,1.3808,4
EURUSD,20140301,023700,1.3808,1.3809,1.3808,1.3809,4
EURUSD,20140301,023800,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,023900,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,024000,1.3806,1.3806,1.3805,1.3805,4
EURUSD,20140301,024100,1.3805,1.3805,1.3805,1.3805,4
EURUSD,20140301,024200,1.3806,1.3806,1.3806,1.3806,4
EURUSD,20140301,024300,1.3806,1.3806,1.3805,1.3805,4
EURUSD,20140301,024400,1.3805,1.3806,1.3805,1.3806,4
EURUSD,20140301,024500,1.3805,1.3806,1.3805,1.3806,4
EURUSD,20140301,024600,1.3805,1.3805,1.3805,1.3805,4
EURUSD,20140301,024700,1.3805,1.3805,1.3805,1.3805,4
EURUSD,20140301,024800,1.3805,1.3805,1.3804,1.3805,4
EURUSD,20140301,024900,1.3804,1.3805,1.3804,1.3805,4
EURUSD,20140301,025000,1.3805,1.3805,1.3805,1.3805,4
EURUSD,20140301,025100,1.3805,1.3805,1.3805,1.3805,4
EURUSD,20140301,025200,1.3805,1.3805,1.3805,1.3805,4
EURUSD,20140301,025300,1.3805,1.3806,1.3805,1.3806,4
EURUSD,20140301,025400,1.3806,1.3807,1.3806,1.3806,4
EURUSD,20140301,025500,1.3806,1.3806,1.3806,1.3806,4
EURUSD,20140301,025600,1.3806,1.3808,1.3806,1.3807,4
EURUSD,20140301,025700,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,025800,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,025900,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,030000,1.3808,1.3808,1.3807,1.3807,4
EURUSD,20140301,030100,1.3808,1.3808,1.3805,1.3805,4
EURUSD,20140301,030200,1.3806,1.3806,1.3806,1.3806,4
EURUSD,20140301,030300,1.3806,1.3807,1.3806,1.3807,4
EURUSD,20140301,030400,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,030500,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,030600,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,030700,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,030800,1.3807,1.3807,1.3807,1.3807,4
EURUSD,20140301,030900,1.3807,1.3808,1.3807,1.3807,4
EURUSD,20140301,031000,1.3807,1.3808,1.3807,1.3808,4
EURUSD,20140301,031100,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,031200,1.3808,1.3809,1.3808,1.3809,4
EURUSD,20140301,031300,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,031400,1.3809,1.3809,1.3806,1.3807,4
EURUSD,20140301,031500,1.3806,1.3806,1.3805,1.3806,4
EURUSD,20140301,031600,1.3806,1.3807,1.3806,1.3807,4
EURUSD,20140301,031700,1.3807,1.3808,1.3807,1.3808,4
EURUSD,20140301,031800,1.3808,1.3808,1.3808,1.3808,4
EURUSD,20140301,031900,1.3808,1.3809,1.3808,1.3809,4
EURUSD,20140301,032000,1.3809,1.3809,1.3809,1.3809,4
EURUSD,20140301,032100,1.3808,1.3808,1.3808,1.3808,4
