<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20140101,000000,1.3786,1.3789,1.3778,1.3778,4
EURUSD,20140101,000100,1.3777,1.3778,1.3774,1.3775,4
EURUSD,20140101,000200,1.3774,1.3775,1.3772,1.3772,4
EURUSD,20140101,000300,1.3771,1.3777,1.3771,1.3777,4
EURUSD,20140101,000400,1.3776,1.3776,1.3772,1.3772,4
EURUSD,20140101,000500,1.3771,1.3771,1.3766,1.3767,4
EURUSD,20140101,000600,1.3768,1.3768,1.3766,1.3766,4
EURUSD,20140101,000700,1.3767,1.3767,1.3766,1.3767,4
EURUSD,20140101,000800,1.3768,1.3768,1.3767,1.3767,4
EURUSD,20140101,000900,1.3768,1.3769,1.3767,1.3769,4
EURUSD,20140101,001000,1.3769,1.3770,1.3769,1.3769,4
EURUSD,20140101,001100,1.3769,1.3769,1.3768,1.3768,4
EURUSD,20140101,001200,1.3768,1.3769,1.3766,1.3766,4
EURUSD,20140101,001300,1.3767,1.3768,1.3767,1.3768,4
EURUSD,20140101,001400,1.3769,1.3770,1.3768,1.3769,4
EURUSD,20140101,001500,1.3768,1.3769,1.3768,1.3768,4
EURUSD,20140101,001600,1.3767,1.3767,1.3767,1.3767,4
EURUSD,20140101,001700,1.3767,1.3768,1.3766,1.3766,4
EURUSD,20140101,001800,1.3767,1.3767,1.3766,1.3766,4
EURUSD,20140101,001900,1.3766,1.3766,1.3766,1.3766,4
EURUSD,20140101,002000,1.3765,1.3765,1.3764,1.3764,4
EURUSD,20140101,002100,1.3764,1.3764,1.3763,1.3763,4
EURUSD,20140101,002200,1.3762,1.3763,1.3762,1.3763,4
EURUSD,20140101,002300,1.3764,1.3765,1.3764,1.3765,4
EURUSD,20140101,002400,1.3765,1.3765,1.3764,1.3765,4
EURUSD,20140101,002500,1.3765,1.3766,1.3765,1.3766,4
EURUSD,20140101,002600,1.3766,1.3766,1.3766,1.3766,4
EURUSD,20140101,002700,1.3766,1.3767,1.3766,1.3767,4
EURUSD,20140101,002800,1.3767,1.3767,1.3766,1.3767,4
EURUSD,20140101,002900,1.3768,1.3769,1.3768,1.3769,4
EURUSD,20140101,003000,1.3768,1.3769,1.3768,1.3769,4
EURUSD,20140101,003100,1.3768,1.3768,1.3766,1.3767,4
